Description,Technical  Class
"BOLT, STUD, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",TSC04
"WASHER, TYPE:LOCK, SIZE:12, MATERIAL:EN 1.4547",SCH88
"WASHER, PLAIN, MATERIAL:EN 1.4432-HV200",SCH88
"WASHER, TYPE:LOCK, MATERIAL:EN 1.4547",SCH88
"WASHER, TYPE:LOCK, MATERIAL:EN 1.4547",SCH88
"WASHER, PLAIN, SIZE:12, MATERIAL:EN 1.4432-HV200",SCH88
"WASHER, PLAIN, MATERIAL:EN 1.4432-HV200",SCH88
"WASHER, PLAIN, MATERIAL:EN 1.4432-HV200",SCH88
"NUT, TYPE:HEXAGON, SIZE:M12, MATERIAL:A4-80 2.5MO",SCH55
"NUT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",SCH55
"NUT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",SCH55
"NUT, TYPE:HEXAGON, MATERIAL:A4-70",SCH55
"RING, BACKUP, MATERIAL:PU 90",SCH17
"GASKET, ENVELOPE, MATERIAL:PTFE",SPI23
"FLANGE, BLIND, MATERIAL:EN AW 5052",PTP98
"FLANGE, BLIND, MATERIAL:EN AW 5052",PTP98
"BOLT, TYPE:HEXAGON, MATERIAL:8.8 ELZN",TSC04
"TOOL(STC 60), PRESSURE",CTL99
"FLANGE, TRANSPORT, MATERIAL:EN AW 5052",PTP98
"BOLT, TYPE:HEXAGON, MATERIAL:8.8 HDG",TSC04
"FLANGE, BLIND, MATERIAL:EN AW 5052",PTP98
"BOLT, TYPE:HEXAGON, MATERIAL:8.8 HDG",TSC04
"NUT, TYPE:HEXAGON, MATERIAL:ST 80 HDG",SCH55
"BOLT, TYPE:HEXAGON, MATERIAL:8.8 HDG",TSC04
"NUT, TYPE:HEXAGON, MATERIAL:8.8 HDG",SCH55
"FLANGE, BLIND, MATERIAL:EN AW 5052",PTP98
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",TSC04
"SLEEVE DUST, MATERIAL:TEXTILE",SCH77
"COVER, SUCTION, MATERIAL:EN 1.4432",MEA07
"CASING, VOLUTE, MATERIAL:CF8M+MO",MEP99
"SEAL, HOUSE SD, MATERIAL:CF8M+MO",CTZ08
"SEAL, HOUSE SD, MATERIAL:EN 1.4432",CTZ08
"BEARING, FLANGE, MATERIAL:EN 1.4432",MEI99
"COVER, PUMP SD, MATERIAL:EN 1.4432",MEA07
"BEARING, HOUSE, MATERIAL:EN-GJS-400-15",MEI99
"CIRCLIP, MATERIAL:CS",SCH11
"FLANGE, DRAIN, MATERIAL:EN 1.4432",PTP98
"CIRCLIP, MATERIAL:CS",SCH11
"CIRCLIP, MATERIAL:CS",SCH11
"CIRCLIP, MATERIAL:CS",SCH11
"PIN, GUIDE, MATERIAL:EN 1.4432",SCH56
"SET, SCREW, MATERIAL:A4-70",SCH72
"WASHER, MATERIAL:EN 1.4460",SCH88
"BOLT, SOCKET, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, SOCKET, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, SOCKET, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, SOCKET, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, STUD, SIZE:M12X 35, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, SOCKET, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, SOCKET, MATERIAL:12.9",TSC04
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, SOCKET, MATERIAL:12.9",TSC04
"BOLT, SOCKET, MATERIAL:12.9",TSC04
"BOLT, SOCKET, MATERIAL:12.9",TSC04
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, TYPE:HEXAGON MATERIAL:A4-80 2.5MO",TSC04
"WASHER, TYPE:LOCK, MATERIAL:EN 1.4547",SCH88
"WASHER, MATERIAL:CS",SCH88
"WASHER, PLAIN, MATERIAL:EN 1.4432-HV200",SCH88
"WASHER, PLAIN, MATERIAL:EN 1.4432-HV200",SCH88
"WASHER, TYPE:LOCK, MATERIAL:CS",SCH88
"NUT, TYPE:LOCK KM, MATERIAL:CS",SCH55
"NUT, TYPE:LOCK KM, MATERIAL:CS",SCH55
"O-RING, MATERIAL:80FKM",CTZ11
"SEAL(DOUBLE), CARGO, MATERIAL:PTFE",CTZ08
"SEAL(SINGLE), CARGO, MATERIAL:PTFE",CTZ08
"TRANSMITTER, LEVEL",ICT04
"CABLE GLAND, SIZE:M20, MATERIAL:BRASS NICKEL PLATED",CFC03
"COUPLING, STUD, MATERIAL:EN1.4571",SCH13
"STUD STAND PI, MATERIAL:EN 1.4571",PTP37
"PLUG, BLEED, SIZE:1/4"" NPT, MATERIAL:EN 1.4404",SCH63
"PLUG SOCKET, MATERIAL:EN 1.4571",SCH63
"PLATE, DOUBLE, MATERIAL:EN 1.4432",CTZ99
"WIRE LOCK, MATERIAL:EN 1.4404",LHD05
"WIRE, MATERIAL:EN 1.4404",LHD05
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80",TSC04
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",TSC04
"WASHER, PLAIN, SIZE:10, MATERIAL:EN 1.4432-HV200",SCH88
"FLANGE, PRESSURE, MATERIAL:EN 1.4404",PTP98
"FLANGE, PRESSURE, MATERIAL:EN 1.4404",PTP98
"BOLT, TYPE:HEXAGON, SIZE:M12X 25, MATERIAL:A4-80 2.5MO",TSC04
"BOLT, TYPE:HEXAGON, MATERIAL:A4-80 2.5MO",TSC04
"O-RING, MATERIAL:90NBR",CTZ11
"PIPE, HP, SD350, MATERIAL:P355 N",SPI29
"PIPE, HP, SD350, MATERIAL:P355 N",SPI29
"VALVE, CHECK BALL, SIZE:1-1/2"", TYPE:SLIP ON CONNECTION, MATERIAL:PVC",VMB99
"VALVE, VACUUM BREAKER, TYPE:FLANGED, LO, FF, RATING: ANSI 150",VAE15
"CONNECTOR, VALVE, TYPE:ANGLE MALE, MATERIAL:POLYPROPYLENE, SIZE:1/4"" NPX1/4"" OD",MEW03
"O-RING, MATERIAL:VITON",CTZ11
"SEAT, MATERIAL:RPTFE+MONEL",SCH87
"PACKING, SIGRAFLEX",LWG03
"GASKET, MATERIAL:NOVUS 34",SPI23
"VALVE(DP), NEEDLE, SIZE:1"" OD",VMO99
"SENSOR, CONDUCTIVITY",SCF29
"VALVE MANIFOLD, DUPLEX, SIZE:1/2"" FNP X 1/2"" FNP X 1/4"" FNP",VAC99
"ACTUATOR OF AUTO VALVE, MATERIAL:PVC, RATING:220V",VAA01
"VALVE, BALL, SIZE:1 1/2"", TYPE:VIC (ARPL-60F51), MATERIAL:DUPLEX",VMB99
"VALVE, NEEDLE, TYPE:SS6, SIZE:1"" NP",VMO99
"SENSOR CONDCTIVITY, 0.01 CELL, SIZE:3/4"" NP, RATING:4-20MA",SCF29
"VALVE, CHECK BALL, SIZE:1"", TYPE:SLIP ON CONNECTION, MATERIAL:PVC",VMB99
"VALVE, BUTTERFLY, SIZE:ANSI 2"", MATERIAL:PVC",VMC99
"VALVE, BALL, TYPE:SS6, SIZE:1"" OD",VMB99
"VALVE, RELIEF, TYPE:SS6, SIZE:1/4"" FNPX1/4"", INLET PORT:MALE NPT, OUTLET PORT:A-LOK COMPRESSION",VAP99
"VALVE, SHUT OFF, SIZE:0.25 FPT X FPT, MATERIAL:SS",SCJ05
"FLOW METER, SIZE:2"" FPT, TYPE:7205-0231-31W, RATING:60 GPM",CTL07
"HOSE, HP, TYPE:VIC, SIZE:1 1/2"", 1320MM LONG, MATERIAL:RUBBER, DUPLEX",SPI38
"HOSE, HP, TYPE:VIC, SIZE:1 1/2"", 1920MM LONG, MATERIAL:RUBBER, DUPLEX",SPI38
"HOSE, HP, TYPE:VIC, SIZE:1 1/2"", 1460MM LONG, MATERIAL:RUBBER, DUPLEX",SPI38
"GASKET, SIZE:2"", MATERIAL:EPDM",SCH31
"GASKET, SIZE:1 1/2"", MATERIAL:EPDM",SCH31
"GASKET, PAPER OIL",SPI23
"GASKET, PAPER OIL",SPI23
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"VALVE, BUTTERFLY, TYPE:DOUBLE OFFSET FS, SIZE:2.5""",VMC99
"O-RING, MATERIAL:VITON",CTZ11
"VALVE, CHECK BALL, SIZE:1-1/2"", TYPE:SLIP ON CONNECTION, MATERIAL:PVC",VMB99
"VALVE, VACUUM BREAKER, TYPE:FLANGED, LO, FF, RATING: ANSI 150",VAE15
"CONNECTOR, VALVE, TYPE:ANGLE MALE, MATERIAL:POLYPROPYLENE, SIZE:1/4"" NPX1/4"" OD",MEW03
"O-RING, MATERIAL:VITON",CTZ11
"SEAT, MATERIAL:RPTFE+MONEL",SCH87
"PACKING, SIGRAFLEX",LWG03
"GASKET, MATERIAL:NOVUS 34",SPI23
"VALVE(DP), NEEDLE, SIZE:1"" OD",VMO99
"SENSOR, CONDUCTIVITY",SCF29
"VALVE MANIFOLD, DUPLEX, SIZE:1/2"" FNP X 1/2"" FNP X 1/4"" FNP",VAC99
"ACTUATOR OF AUTO VALVE, MATERIAL:PVC, RATING:220V",VAA01
"VALVE, BALL, SIZE:1 1/2"", TYPE:VIC (ARPL-60F51), MATERIAL:DUPLEX",VMB99
"VALVE, NEEDLE, TYPE:SS6, SIZE:1"" NP",VMO99
"SENSOR CONDCTIVITY, 0.01 CELL, SIZE:3/4"" NP, RATING:4-20MA",SCF29
"VALVE, CHECK BALL, SIZE:1"", TYPE:SLIP ON CONNECTION, MATERIAL:PVC",VMB99
"VALVE, BUTTERFLY, SIZE:ANSI 2"", MATERIAL:PVC",VMC99
"VALVE, BALL, TYPE:SS6, SIZE:1"" OD",VMB99
"VALVE, RELIEF, TYPE:SS6, SIZE:1/4"" FNPX1/4"", INLET PORT:MALE NPT, OUTLET PORT:A-LOK COMPRESSION",VAP99
"VALVE, SHUT OFF, SIZE:0.25 FPT X FPT, MATERIAL:SS",SCJ05
"FLOW METER, SIZE:2"" FPT, TYPE:7205-0231-31W, RATING:60 GPM",CTL07
"HOSE, HP, TYPE:VIC, SIZE:1 1/2"", 1320MM LONG, MATERIAL:RUBBER, DUPLEX",SPI38
"HOSE, HP, TYPE:VIC, SIZE:1 1/2"", 1920MM LONG, MATERIAL:RUBBER, DUPLEX",SPI38
"HOSE, HP, TYPE:VIC, SIZE:1 1/2"", 1460MM LONG, MATERIAL:RUBBER, DUPLEX",SPI38
"GASKET, SIZE:2"", MATERIAL:EPDM",SCH31
"GASKET, SIZE:1 1/2"", MATERIAL:EPDM",SCH31
"GASKET, PAPER OIL",SPI23
"GASKET, PAPER OIL",SPI23
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"VALVE, BUTTERFLY, TYPE:DOUBLE OFFSET FS, SIZE:2.5""",VMC99
"O-RING, MATERIAL:VITON",CTZ11
"VALVE, CHECK BALL, SIZE:1-1/2"", TYPE:SLIP ON CONNECTION, MATERIAL:PVC",VMB99
"VALVE, VACUUM BREAKER, TYPE:FLANGED, LO, FF, RATING: ANSI 150",VAE15
"CONNECTOR, VALVE, TYPE:ANGLE MALE, MATERIAL:POLYPROPYLENE, SIZE:1/4"" NPX1/4"" OD",MEW03
"O-RING, MATERIAL:VITON",CTZ11
"SEAT, MATERIAL:RPTFE+MONEL",SCH87
"PACKING, SIGRAFLEX",LWG03
"GASKET, MATERIAL:NOVUS 34",SPI23
"VALVE(DP), NEEDLE, SIZE:1"" OD",VMO99
"SENSOR, CONDUCTIVITY",SCF29
"VALVE MANIFOLD, DUPLEX, SIZE:1/2"" FNP X 1/2"" FNP X 1/4"" FNP",VAC99
"ACTUATOR OF AUTO VALVE, MATERIAL:PVC, RATING:220V",VAA01
"VALVE, BALL, SIZE:1 1/2"", TYPE:VIC (ARPL-60F51), MATERIAL:DUPLEX",VMB99
"VALVE, NEEDLE, TYPE:SS6, SIZE:1"" NP",VMO99
"SENSOR CONDCTIVITY, 0.01 CELL, SIZE:3/4"" NP, RATING:4-20MA",SCF29
"VALVE, CHECK BALL, SIZE:1"", TYPE:SLIP ON CONNECTION, MATERIAL:PVC",VMB99
"VALVE, BUTTERFLY, SIZE:ANSI 2"", MATERIAL:PVC",VMC99
"VALVE, BALL, TYPE:SS6, SIZE:1"" OD",VMB99
"VALVE, RELIEF, TYPE:SS6, SIZE:1/4"" FNPX1/4"", INLET PORT:MALE NPT, OUTLET PORT:A-LOK COMPRESSION",VAP99
"VALVE, SHUT OFF, SIZE:0.25 FPT X FPT, MATERIAL:SS",SCJ05
"FLOW METER, SIZE:2"" FPT, TYPE:7205-0231-31W, RATING:60 GPM",CTL07
"HOSE, HP, TYPE:VIC, SIZE:1 1/2"", 1320MM LONG, MATERIAL:RUBBER, DUPLEX",SPI38
"HOSE, HP, TYPE:VIC, SIZE:1 1/2"", 1920MM LONG, MATERIAL:RUBBER, DUPLEX",SPI38
"HOSE, HP, TYPE:VIC, SIZE:1 1/2"", 1460MM LONG, MATERIAL:RUBBER, DUPLEX",SPI38
"GASKET, SIZE:2"", MATERIAL:EPDM",SCH31
"GASKET, SIZE:1 1/2"", MATERIAL:EPDM",SCH31
"GASKET, PAPER OIL",SPI23
"GASKET, PAPER OIL",SPI23
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"O-RING, MATERIAL:VITON",CTZ11
"VALVE, BUTTERFLY, TYPE:DOUBLE OFFSET FS, SIZE:2.5""",VMC99
"O-RING, MATERIAL:VITON",CTZ11
"FLANGE(2P), SIZE:2"", TYPE:SOC, MATERIAL:PVC, RATING:ANSI 150",PTP98
"FITTING, ELBOW, SIZE:2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITING, TEE, SIZE:2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, ELBOW, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITING, UNION, SIZE:2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, FLANGE(2P), SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC, RATING:ANSI 150",PTP99
"FITTING, TEE, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, UNION, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, UNION, SIZE:1"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, ELBOW, SIZE:1"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, TEE, SIZE:1"", TYPE:SOC, MATERIAL:PVC",PTP99
"VALVE, GATE, SIZE:1"", TYPE:SOC, MATERIAL:PVC",VMI99
"FITTING, ELBOW, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, UNION, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"COUPLING, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",OLC02
"CONNECTOR, SIZE:1/4"" MNPX1/4"" OD, TYPE:SS6",MEW03
"CONNECTOR, SIZE:1"" MNPX1"" OD, TYPE:SS6",MEW03
"FITTING, ELBOW, SIZE:1"" OD, TYPE:SS6",PTP99
"FITTING, TEE, SIZE:1"" OD, TYPE:SS6",PTP99
"COUPLING, TYPE:SS6, SIZE:1"" FNP",OLC02
"FITTING, TEE, SIZE:1/4"" OD, TYPE:SS6",PTP99
"CONNECTOR, SIZE:1/4"" FNPX1/4"" OD, TYPE:SS6",MEW03
"FITTING, ELBOW, SIZE:1-1/2"" FNP, MATERIAL:PVC",PTP99
"VALVE, RELIEF, TYPE:SS6, SIZE:1/4"" FNPX1/4"" FNP",VAP99
"VALVE, BALL, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",VMB99
"SWITCH, HIGH PRESSURE, TYPE:DIN CONN, RATING:900 PSI",ICS07
"SWITCH, HIGH PRESSURE, TYPE:DIN CONN, RATING:225 PSI",ICS07
"SWITCH, LOW PRESSURE, TYPE:DIN CONN, RATING:6 PSI",ICS07
"TRANSDUCER, HIGH PRESSURE, RATING:0-2000 PSIA",SCQ05
"BUSHING, REDUCING, TYPE:SS6, SIZE:1/2"" MNPX1/4"" FNP",SCD13
"CONNECTOR, TYPE:SS6, SIZE:1/2"" MNPX1/4"" OD",MEW03
"COUPLING, TYPE:SS6, SIZE:1/4"" FNP",OLC02
"FLANGE(2P), SIZE:2"", TYPE:SOC, MATERIAL:PVC, RATING:ANSI 150",PTP98
"FITTING, ELBOW, SIZE:2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITING, TEE, SIZE:2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, ELBOW, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITING, UNION, SIZE:2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, FLANGE(2P), SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC, RATING:ANSI 150",PTP99
"FITTING, TEE, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, UNION, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, UNION, SIZE:1"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, ELBOW, SIZE:1"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, TEE, SIZE:1"", TYPE:SOC, MATERIAL:PVC",PTP99
"VALVE, GATE, SIZE:1"", TYPE:SOC, MATERIAL:PVC",VMI99
"FITTING, ELBOW, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, UNION, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"COUPLING, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",OLC02
"CONNECTOR, SIZE:1/4"" MNPX1/4"" OD, TYPE:SS6",MEW03
"CONNECTOR, SIZE:1"" MNPX1"" OD, TYPE:SS6",MEW03
"FITTING, ELBOW, SIZE:1"" OD, TYPE:SS6",PTP99
"FITTING, TEE, SIZE:1"" OD, TYPE:SS6",PTP99
"COUPLING, TYPE:SS6, SIZE:1"" FNP",OLC02
"FITTING, TEE, SIZE:1/4"" OD, TYPE:SS6",PTP99
"CONNECTOR, SIZE:1/4"" FNPX1/4"" OD, TYPE:SS6",MEW03
"FITTING, ELBOW, SIZE:1-1/2"" FNP, MATERIAL:PVC",PTP99
"VALVE, RELIEF, TYPE:SS6, SIZE:1/4"" FNPX1/4"" FNP",VAP99
"VALVE, BALL, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",VMB99
"SWITCH, HIGH PRESSURE, TYPE:DIN CONN, RATING:900 PSI",ICS07
"SWITCH, HIGH PRESSURE, TYPE:DIN CONN, RATING:225 PSI",ICS07
"SWITCH, LOW PRESSURE, TYPE:DIN CONN, RATING:6 PSI",ICS07
"TRANSDUCER, HIGH PRESSURE, RATING:0-2000 PSIA",SCQ05
"BUSHING, REDUCING, TYPE:SS6, SIZE:1/2"" MNPX1/4"" FNP",SCD13
"CONNECTOR, TYPE:SS6, SIZE:1/2"" MNPX1/4"" OD",MEW03
"COUPLING, TYPE:SS6, SIZE:1/4"" FNP",OLC02
"FLANGE(2P), SIZE:2"", TYPE:SOC, MATERIAL:PVC, RATING:ANSI 150",PTP98
"FITTING, ELBOW, SIZE:2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITING, TEE, SIZE:2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, ELBOW, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITING, UNION, SIZE:2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, FLANGE(2P), SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC, RATING:ANSI 150",PTP99
"FITTING, TEE, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, UNION, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, UNION, SIZE:1"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, ELBOW, SIZE:1"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, TEE, SIZE:1"", TYPE:SOC, MATERIAL:PVC",PTP99
"VALVE, GATE, SIZE:1"", TYPE:SOC, MATERIAL:PVC",VMI99
"FITTING, ELBOW, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"FITTING, UNION, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",PTP99
"COUPLING, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",OLC02
"CONNECTOR, SIZE:1/4"" MNPX1/4"" OD, TYPE:SS6",MEW03
"CONNECTOR, SIZE:1"" MNPX1"" OD, TYPE:SS6",MEW03
"FITTING, ELBOW, SIZE:1"" OD, TYPE:SS6",PTP99
"FITTING, TEE, SIZE:1"" OD, TYPE:SS6",PTP99
"COUPLING, TYPE:SS6, SIZE:1"" FNP",OLC02
"FITTING, TEE, SIZE:1/4"" OD, TYPE:SS6",PTP99
"CONNECTOR, SIZE:1/4"" FNPX1/4"" OD, TYPE:SS6",MEW03
"FITTING, ELBOW, SIZE:1-1/2"" FNP, MATERIAL:PVC",PTP99
"VALVE, RELIEF, TYPE:SS6, SIZE:1/4"" FNPX1/4"" FNP",VAP99
"VALVE, BALL, SIZE:1-1/2"", TYPE:SOC, MATERIAL:PVC",VMB99
"SWITCH, HIGH PRESSURE, TYPE:DIN CONN, RATING:900 PSI",ICS07
"SWITCH, HIGH PRESSURE, TYPE:DIN CONN, RATING:225 PSI",ICS07
"SWITCH, LOW PRESSURE, TYPE:DIN CONN, RATING:6 PSI",ICS07
"TRANSDUCER, HIGH PRESSURE, RATING:0-2000 PSIA",SCQ05
"BUSHING, REDUCING, TYPE:SS6, SIZE:1/2"" MNPX1/4"" FNP",SCD13
"CONNECTOR, TYPE:SS6, SIZE:1/2"" MNPX1/4"" OD",MEW03
"COUPLING, TYPE:SS6, SIZE:1/4"" FNP",OLC02
"BRACKET(ASSEMBLY), BEARING, SIZE:450/DIA 128 SHAFT/DIA 680/60, MATERIAL:25 CR DUPLEX",MEP07
"BRACKET(LOWER), BEARING, SE450, MATERIAL:25 CR DUPLEX",MEP07
"BOLT, SOCKET, SIZE:M6X60, MATERIAL:25 CR DUPLEX",TSC04
"BAR, CIRCULAR, SIZE:DIA 280, MATERIAL:EN 1.6582",MEP99
"RING, DISTANCE, SE450, TYPE:6 POLE, MATERIAL:S355G10+N/M",MEP99
"SEAL(ASSEMBLY), MECHANICAL, SIZE:DIA 128",SCH54
"PLATE, SIZE:PL 15 X 1500 X 3000, MATERIAL:25 CR DUPLEX",CTZ99
"PLUG, STATOR, MATERIAL:25 CR DUPLEX",SCH63
"PLATE, SIZE:PL 12 X 2000 X 6000, MATERIAL:25 CR DUPLEX",CTZ99
"SCREW, RING, SIZE:RS-M42, MATERIAL:ST 80",SCH72
"SCREW, RING, SIZE:RS-M12, MATERIAL:ST 80",SCH72
"STUD, MATERIAL:M20X60, MATERIAL:25 CR DUPLEX",PTP37
"STUD, MATERIAL:M20X90, MATERIAL:25 CR DUPLEX",PTP37
"STUD, MATERIAL:M16X55, MATERIAL:25 CR DUPLEX",PTP37
"NUT, HEXAGONAL, SIZE:M16, MATERIAL:25 CR DUPLEX",SCH55
"STUD, MATERIAL:M10X70, MATERIAL:25 CR DUPLEX",PTP37
"PLUG, LOCKING, MATERIAL:25 CR DUPLEX",SCH63
"BOLT, HEXAGONAL, SIZE:M10X20, MATERIAL:25 CR DUPLEX",TSC04
"SLEEVE, LOWER SE, MATERIAL:TITAN GR.2",SCH77
"PIPE, SEAMLESS, SIZE:4"", TYPE:SCH 10S, LENGTH:5753MM, MATERIAL:TITAN GR.2",SPI29
"SLEEVE, UPPER SE, MATERIAL:TITAN GR.2",SCH77
"GLAND, BOX, RATING:11 KV, MATERIAL:1.4404",CFC03
"PLATE, SIZE:PL 8 X 1500 X 3000, MATERIAL:EN 1.4404",CTZ99
"BOLT, THREADED, SIZE:M8X1000, MATERIAL:A4-80",TSC04
"ROD, LOCK, LENGTH:1319, MATERIAL:POM-C HVIT",MEP99
"ROD, LOCK, SIZE:OD 13/ID 5, LENGTH:6000 MM, MATERIAL:POM C WHITE",MEP99
"TUBE INSULATION, LENGTH:1348, MATERIAL:POM-C HVIT",PTT99
"TUBE INSULATION, SIZE:OD 40/ ID 33, LENGTH:6000 MM, MATERIAL:POM C",PTT99
"COVER, BOX GLAND, MATERIAL:1.4404",ELA01
"PLUG, SEAL, MATERIAL:POM C WHITE",SCH63
"PLATE, SIZE:PL 4 X 1500 X 3000, MATERIAL:EN 1.4404",CTZ99
"PLATE, SIZE:PL 10 X 1500 X 3000, MATERIAL:EN 1.4404",CTZ99
"BAR, CIRCULAR, SIZE:DIA 60, MATERIAL:EN 1.4404",MEP99
"BAR, CIRCULAR, SIZE:DIA 12, MATERIAL:1.4401",MEP99
"NIPPLE, WELD, SIZE:1"" NPT, MATERIAL:1.4404",SCJ04
"NIPPLE, HEXAGONAL, SIZE:G 1/2"", MATERIAL:EN 1.4432",SCJ04
"BAR, CIRCULAR, SIZE:DIA 220, MATERIAL:EN 1.4404",MEP99
"PLUG, HEXAGONAL, SIZE:5/8-18 UNF, MATERIAL:1.4401",SCH63
"PLUG, SOCKET, SIZE:1/8"" NPT, MATERIAL:EN 1.4401",SCH63
"GASKET, SIZE:DIA 1 /2"", RATING:300 RF, MATERIAL:ARAMID FIBER/NBR",PTP38
"PLUG, SOCKET, SIZE:1 1/4"" NPT, MATERIAL:EN 1.4401",SCH63
"BAR, CIRCULAR, SIZE:DIA 130, MATERIAL:EN 1.4404",MEP99
"PLATE, SIZE:PL 30 X 1500 X 3000, MATERIAL:EN 1.4404",CTZ99
"HOSE, OIL INLET, SIZE:1"" X 890, MATERIAL:MEGA TUFF",SPI38
"NUT, EYE, SIZE:M10, MATERIAL:GRADE 95",SCH55
"BOLT, EYE, SIZE:M12, MATERIAL:GRADE 95",STL05
"BOLT, EYE, SIZE:M20, MATERIAL:GRADE 95",STL05
"BOLT, SOCKET, SIZE:M6X16, MATERIAL:25 CR DUPLEX",TSC04
"BOLT, SOCKET, SIZE:M12X30, MATERIAL:25 CR DUPLEX",TSC04
"STUD, SIZE:M20X100, MATERIAL:25 CR DUPLEX",PTP37
"NUT, HEXAGONAL, SIZE:M8, MATERIAL:25 CR DUPLEX",SCH55
"BOLT, SOCKET, SIZE:M8X90, MATERIAL:25 CR DUPLEX",TSC04
"NUT, LOCK, SIZE:M12, MATERIAL:25 CR DUPLEX",SCH55
