description,technical_code
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-CV CS <3"" 900#≤P<2500# & 3000psi-Valve Control || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAC02
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || 2500# & 6000 psi-CV CS <3"" 2500# & 6000psi-Valve Control || CS || 3"" and below || 2500# & 6000 psi",VAC03
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || API 6A and ≥10000#-CV CS <3"" API 6A & ≥10000#-Valve Control || CS || 3"" and below || API 6A and ≥10000#",VAC04
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || Pressure < 900#-CV CRA <3"" P<900#-Valve Control || CRA || 3"" and below || Pressure < 900#",VAC05
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-CV CRA <3"" 900#≤P<2500# & 3000psi-Valve Control || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAC06
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || 2500# & 6000 psi-CV CRA <3"" 2500# & 6000psi-Valve Control || CRA || 3"" and below || 2500# & 6000 psi",VAC07
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || API 6A and ≥10000#-CV CRA <3"" API6A & ≥10000#-Valve Control || CRA || 3"" and below || API 6A and ≥10000#",VAC08
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || Pressure < 900#-CV CS >4"" P<900#-Valve Control || CS || 4"" and above || Pressure < 900#",VAC09
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-CV CS >4"" 900#≤P<2500# & 3000psi-Valve Control || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAC10
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || 2500# & 6000 psi-CV CS >4"" 2500# & 6000psi-Valve Control || CS || 4"" and above || 2500# & 6000 psi",VAC11
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || API 6A and ≥10000#-CV CS >4"" API 6A & ≥10000#-Valve Control || CS || 4"" and above || API 6A and ≥10000#",VAC12
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || Pressure < 900#-CV CRA >4"" P<900#-Valve Control || CRA || 4"" and above || Pressure < 900#",VAC13
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-CV CRA >4"" 900#≤P<2500# & 3000psi-Valve Control || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAC14
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || 2500# & 6000 psi-CV CRA >4"" 2500# & 6000psi-Valve Control || CRA || 4"" and above || 2500# & 6000 psi",VAC15
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || API 6A and ≥10000#-CV CRA >4"" API6A & ≥10000#-Valve Control || CRA || 4"" and above || API 6A and ≥10000#",VAC16
Valves - Actuated-Control Valves-Tubing Control Valve || SS || Low Pressure (<10000 psi)-Tube CV SS LP <10000psi-Tubing Control Valve || SS || Low Pressure (<10000 psi),VAC17
Valves - Actuated-Control Valves-Tubing Control Valve || SS || Medium Pressure (≥10000 psi)-Tube CV SS MP ≥10000psi-Tubing Control Valve || SS || Medium Pressure (≥10000 psi),VAC18
Valves - Actuated-Control Valves-Tubing Control Valve || CRA (excl. SS) || Low Pressure (<10000 psi)-Tube CV CRA exc SS LP <10000 psi-Tubing Control Valve || CRA (excl. SS) || Low Pressure (<10000 psi),VAC19
Valves - Actuated-Control Valves-Tubing Control Valve || CRA (excl. SS) || Medium Pressure (≥10000 psi)-Tube CV CRA exc SS MP ≥10000 psi-Tubing Control Valve || CRA (excl. SS) || Medium Pressure (≥10000 psi),VAC20
Valves - Actuated-Control Valves-Control Valves (Generic) - for migration only-Control Valves (Generic) - for migration only-Control Valves (Generic) - for migration only,VAC99
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || Pressure < 900#-CV CS <3"" P<900#-Valve Control || CS || 3"" and below || Pressure < 900#",VAC01
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-CV CS <3"" 900#≤P<2500# & 3000psi-Valve Control || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAC02
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || 2500# & 6000 psi-CV CS <3"" 2500# & 6000psi-Valve Control || CS || 3"" and below || 2500# & 6000 psi",VAC03
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || API 6A and ≥10000#-CV CS <3"" API 6A & ≥10000#-Valve Control || CS || 3"" and below || API 6A and ≥10000#",VAC04
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || Pressure < 900#-CV CRA <3"" P<900#-Valve Control || CRA || 3"" and below || Pressure < 900#",VAC05
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-CV CRA <3"" 900#≤P<2500# & 3000psi-Valve Control || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAC06
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || 2500# & 6000 psi-CV CRA <3"" 2500# & 6000psi-Valve Control || CRA || 3"" and below || 2500# & 6000 psi",VAC07
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || API 6A and ≥10000#-CV CRA <3"" API6A & ≥10000#-Valve Control || CRA || 3"" and below || API 6A and ≥10000#",VAC08
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || Pressure < 900#-CV CS >4"" P<900#-Valve Control || CS || 4"" and above || Pressure < 900#",VAC09
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-CV CS >4"" 900#≤P<2500# & 3000psi-Valve Control || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAC10
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || 2500# & 6000 psi-CV CS >4"" 2500# & 6000psi-Valve Control || CS || 4"" and above || 2500# & 6000 psi",VAC11
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || API 6A and ≥10000#-CV CS >4"" API 6A & ≥10000#-Valve Control || CS || 4"" and above || API 6A and ≥10000#",VAC12
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || Pressure < 900#-CV CRA >4"" P<900#-Valve Control || CRA || 4"" and above || Pressure < 900#",VAC13
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-CV CRA >4"" 900#≤P<2500# & 3000psi-Valve Control || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAC14
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || 2500# & 6000 psi-CV CRA >4"" 2500# & 6000psi-Valve Control || CRA || 4"" and above || 2500# & 6000 psi",VAC15
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || API 6A and ≥10000#-CV CRA >4"" API6A & ≥10000#-Valve Control || CRA || 4"" and above || API 6A and ≥10000#",VAC16
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || Pressure < 900#-CV CS <3"" P<900#-Valve Control || CS || 3"" and below || Pressure < 900#",VAC01
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-CV CS <3"" 900#≤P<2500# & 3000psi-Valve Control || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAC02
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || 2500# & 6000 psi-CV CS <3"" 2500# & 6000psi-Valve Control || CS || 3"" and below || 2500# & 6000 psi",VAC03
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || API 6A and ≥10000#-CV CS <3"" API 6A & ≥10000#-Valve Control || CS || 3"" and below || API 6A and ≥10000#",VAC04
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || Pressure < 900#-CV CRA <3"" P<900#-Valve Control || CRA || 3"" and below || Pressure < 900#",VAC05
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-CV CRA <3"" 900#≤P<2500# & 3000psi-Valve Control || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAC06
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || 2500# & 6000 psi-CV CRA <3"" 2500# & 6000psi-Valve Control || CRA || 3"" and below || 2500# & 6000 psi",VAC07
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || API 6A and ≥10000#-CV CRA <3"" API6A & ≥10000#-Valve Control || CRA || 3"" and below || API 6A and ≥10000#",VAC08
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || Pressure < 900#-CV CS >4"" P<900#-Valve Control || CS || 4"" and above || Pressure < 900#",VAC09
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-CV CS >4"" 900#≤P<2500# & 3000psi-Valve Control || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAC10
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || 2500# & 6000 psi-CV CS >4"" 2500# & 6000psi-Valve Control || CS || 4"" and above || 2500# & 6000 psi",VAC11
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || API 6A and ≥10000#-CV CS >4"" API 6A & ≥10000#-Valve Control || CS || 4"" and above || API 6A and ≥10000#",VAC12
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || Pressure < 900#-CV CRA >4"" P<900#-Valve Control || CRA || 4"" and above || Pressure < 900#",VAC13
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-CV CRA >4"" 900#≤P<2500# & 3000psi-Valve Control || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAC14
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || 2500# & 6000 psi-CV CRA >4"" 2500# & 6000psi-Valve Control || CRA || 4"" and above || 2500# & 6000 psi",VAC15
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || API 6A and ≥10000#-CV CRA >4"" API6A & ≥10000#-Valve Control || CRA || 4"" and above || API 6A and ≥10000#",VAC16
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || Pressure < 900#-CV CS <3"" P<900#-Valve Control || CS || 3"" and below || Pressure < 900#",VAC01
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-CV CS <3"" 900#≤P<2500# & 3000psi-Valve Control || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAC02
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || 2500# & 6000 psi-CV CS <3"" 2500# & 6000psi-Valve Control || CS || 3"" and below || 2500# & 6000 psi",VAC03
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || API 6A and ≥10000#-CV CS <3"" API 6A & ≥10000#-Valve Control || CS || 3"" and below || API 6A and ≥10000#",VAC04
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || Pressure < 900#-CV CRA <3"" P<900#-Valve Control || CRA || 3"" and below || Pressure < 900#",VAC05
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-CV CRA <3"" 900#≤P<2500# & 3000psi-Valve Control || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAC06
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || 2500# & 6000 psi-CV CRA <3"" 2500# & 6000psi-Valve Control || CRA || 3"" and below || 2500# & 6000 psi",VAC07
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || API 6A and ≥10000#-CV CRA <3"" API6A & ≥10000#-Valve Control || CRA || 3"" and below || API 6A and ≥10000#",VAC08
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || Pressure < 900#-CV CS >4"" P<900#-Valve Control || CS || 4"" and above || Pressure < 900#",VAC09
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-CV CS >4"" 900#≤P<2500# & 3000psi-Valve Control || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAC10
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || 2500# & 6000 psi-CV CS >4"" 2500# & 6000psi-Valve Control || CS || 4"" and above || 2500# & 6000 psi",VAC11
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || API 6A and ≥10000#-CV CS >4"" API 6A & ≥10000#-Valve Control || CS || 4"" and above || API 6A and ≥10000#",VAC12
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || Pressure < 900#-CV CRA >4"" P<900#-Valve Control || CRA || 4"" and above || Pressure < 900#",VAC13
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-CV CRA >4"" 900#≤P<2500# & 3000psi-Valve Control || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAC14
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || 2500# & 6000 psi-CV CRA >4"" 2500# & 6000psi-Valve Control || CRA || 4"" and above || 2500# & 6000 psi",VAC15
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || API 6A and ≥10000#-CV CRA >4"" API6A & ≥10000#-Valve Control || CRA || 4"" and above || API 6A and ≥10000#",VAC16
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 3"" and below || Pressure < 900#-OnOff CS<3"" P<900#-Valve On Off || CS || 3"" and below || Pressure < 900#",VAO01
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-OnOff CS<3"" 900#≤P<2500# & 3000psi-Valve On Off || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAO02
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 3"" and below || 2500# & 6000 psi-OnOff CS <3"" 2500# & 6000psi-Valve On Off || CS || 3"" and below || 2500# & 6000 psi",VAO03
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 3"" and below || API 6A and ≥10000#-OnOff CS <3"" API6A & ≥10000#-Valve On Off || CS || 3"" and below || API 6A and ≥10000#",VAO04
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 3"" and below || Pressure < 900#-OnOff CRA <3"" P<900#-Valve On Off || CRA || 3"" and below || Pressure < 900#",VAO05
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-OnOff CRA<3"" 900#≤P<2500# & 3000psi-Valve On Off || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAO06
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 3"" and below || 2500# & 6000 psi-OnOff CRA <3"" 2500# & 6000psi-Valve On Off || CRA || 3"" and below || 2500# & 6000 psi",VAO07
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 3"" and below || API 6A and ≥10000#-OnOff CRA <3"" API6A & ≥10000#-Valve On Off || CRA || 3"" and below || API 6A and ≥10000#",VAO08
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 4"" and above || Pressure < 900#-OnOff CS >4"" P<900#-Valve On Off || CS || 4"" and above || Pressure < 900#",VAO09
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-OnOff CS>4"" 900#≤P<2500# & 3000psi-Valve On Off || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAO10
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 4"" and above || 2500# & 6000 psi-OnOff CS >4"" 2500# & 6000psi-Valve On Off || CS || 4"" and above || 2500# & 6000 psi",VAO11
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 4"" and above || API 6A and ≥10000#-OnOff CS >4"" API6A & ≥10000#-Valve On Off || CS || 4"" and above || API 6A and ≥10000#",VAO12
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 4"" and above || Pressure < 900#-OnOff CRA >4"" P<900#-Valve On Off || CRA || 4"" and above || Pressure < 900#",VAO13
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-OnOff CRA>4"" 900#≤P<2500# & 3000psi-Valve On Off || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAO14
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 4"" and above || 2500# & 6000 psi-OnOff CRA >4"" 2500# & 6000psi-Valve On Off || CRA || 4"" and above || 2500# & 6000 psi",VAO15
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 4"" and above || API 6A and ≥10000#-OnOff CRA >4"" API6A & ≥10000#-Valve On Off || CRA || 4"" and above || API 6A and ≥10000#",VAO16
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 3"" and below || Pressure < 900#-OnOff CS<3"" P<900#-Valve On Off || CS || 3"" and below || Pressure < 900#",VAO01
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-OnOff CS<3"" 900#≤P<2500# & 3000psi-Valve On Off || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAO02
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 3"" and below || 2500# & 6000 psi-OnOff CS <3"" 2500# & 6000psi-Valve On Off || CS || 3"" and below || 2500# & 6000 psi",VAO03
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 3"" and below || API 6A and ≥10000#-OnOff CS <3"" API6A & ≥10000#-Valve On Off || CS || 3"" and below || API 6A and ≥10000#",VAO04
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 3"" and below || Pressure < 900#-OnOff CRA <3"" P<900#-Valve On Off || CRA || 3"" and below || Pressure < 900#",VAO05
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-OnOff CRA<3"" 900#≤P<2500# & 3000psi-Valve On Off || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAO06
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 3"" and below || 2500# & 6000 psi-OnOff CRA <3"" 2500# & 6000psi-Valve On Off || CRA || 3"" and below || 2500# & 6000 psi",VAO07
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 3"" and below || API 6A and ≥10000#-OnOff CRA <3"" API6A & ≥10000#-Valve On Off || CRA || 3"" and below || API 6A and ≥10000#",VAO08
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 4"" and above || Pressure < 900#-OnOff CS >4"" P<900#-Valve On Off || CS || 4"" and above || Pressure < 900#",VAO09
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-OnOff CS>4"" 900#≤P<2500# & 3000psi-Valve On Off || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAO10
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 4"" and above || 2500# & 6000 psi-OnOff CS >4"" 2500# & 6000psi-Valve On Off || CS || 4"" and above || 2500# & 6000 psi",VAO11
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 4"" and above || API 6A and ≥10000#-OnOff CS >4"" API6A & ≥10000#-Valve On Off || CS || 4"" and above || API 6A and ≥10000#",VAO12
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 4"" and above || Pressure < 900#-OnOff CRA >4"" P<900#-Valve On Off || CRA || 4"" and above || Pressure < 900#",VAO13
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-OnOff CRA>4"" 900#≤P<2500# & 3000psi-Valve On Off || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAO14
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 4"" and above || 2500# & 6000 psi-OnOff CRA >4"" 2500# & 6000psi-Valve On Off || CRA || 4"" and above || 2500# & 6000 psi",VAO15
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 4"" and above || API 6A and ≥10000#-OnOff CRA >4"" API6A & ≥10000#-Valve On Off || CRA || 4"" and above || API 6A and ≥10000#",VAO16
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 3"" and below || Pressure < 900#-OnOff CS<3"" P<900#-Valve On Off || CS || 3"" and below || Pressure < 900#",VAO01
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-OnOff CS<3"" 900#≤P<2500# & 3000psi-Valve On Off || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAO02
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 3"" and below || 2500# & 6000 psi-OnOff CS <3"" 2500# & 6000psi-Valve On Off || CS || 3"" and below || 2500# & 6000 psi",VAO03
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 3"" and below || API 6A and ≥10000#-OnOff CS <3"" API6A & ≥10000#-Valve On Off || CS || 3"" and below || API 6A and ≥10000#",VAO04
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 3"" and below || Pressure < 900#-OnOff CRA <3"" P<900#-Valve On Off || CRA || 3"" and below || Pressure < 900#",VAO05
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-OnOff CRA<3"" 900#≤P<2500# & 3000psi-Valve On Off || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAO06
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 3"" and below || 2500# & 6000 psi-OnOff CRA <3"" 2500# & 6000psi-Valve On Off || CRA || 3"" and below || 2500# & 6000 psi",VAO07
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 3"" and below || API 6A and ≥10000#-OnOff CRA <3"" API6A & ≥10000#-Valve On Off || CRA || 3"" and below || API 6A and ≥10000#",VAO08
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 4"" and above || Pressure < 900#-OnOff CS >4"" P<900#-Valve On Off || CS || 4"" and above || Pressure < 900#",VAO09
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-OnOff CS>4"" 900#≤P<2500# & 3000psi-Valve On Off || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAO10
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 4"" and above || 2500# & 6000 psi-OnOff CS >4"" 2500# & 6000psi-Valve On Off || CS || 4"" and above || 2500# & 6000 psi",VAO11
"Valves - Actuated-On/Off Valves-Valve On Off || CS || 4"" and above || API 6A and ≥10000#-OnOff CS >4"" API6A & ≥10000#-Valve On Off || CS || 4"" and above || API 6A and ≥10000#",VAO12
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 4"" and above || Pressure < 900#-OnOff CRA >4"" P<900#-Valve On Off || CRA || 4"" and above || Pressure < 900#",VAO13
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-OnOff CRA>4"" 900#≤P<2500# & 3000psi-Valve On Off || CRA || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAO14
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 4"" and above || 2500# & 6000 psi-OnOff CRA >4"" 2500# & 6000psi-Valve On Off || CRA || 4"" and above || 2500# & 6000 psi",VAO15
"Valves - Actuated-On/Off Valves-Valve On Off || CRA || 4"" and above || API 6A and ≥10000#-OnOff CRA >4"" API6A & ≥10000#-Valve On Off || CRA || 4"" and above || API 6A and ≥10000#",VAO16
Valves - Actuated-On/Off Valves-Tubing On Off Valve || SS || Low Pressure (<10000 psi)-Tube XV Vlv SS LP<10000psi-Tubing On Off Valve || SS || Low Pressure (<10000 psi),VAO17
Valves - Actuated-On/Off Valves-Tubing On Off Valve || SS || Medium Pressure (≥10000 psi)-Tube XV Vlv SS MP≥10000psi-Tubing On Off Valve || SS || Medium Pressure (≥10000 psi),VAO18
Valves - Actuated-On/Off Valves-Tubing On Off Valve || CRA (excl. SS) || Low Pressure (<10000 psi)-Tube XV Vlv CRA excl SS LP<10000psi-Tubing On Off Valve || CRA (excl. SS) || Low Pressure (<10000 psi),VAO19
Valves - Actuated-On/Off Valves-Tubing On Off Valve || CRA (excl. SS) || Medium Pressure (≥10000 psi)-Tube XV Vlv CRA excl SS MP≥10000psi-Tubing On Off Valve || CRA (excl. SS) || Medium Pressure (≥10000 psi),VAO20
Valves - Actuated-On/Off Valves-On-Off Valves (Generic) - for migration only-On-Off Valves (Generic) - for migration only-On-Off Valves (Generic) - for migration only,VAO99
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || Pressure < 900#-CV CS <3"" P<900#-Valve Control || CS || 3"" and below || Pressure < 900#",VAC01
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-CV CS <3"" 900#≤P<2500# & 3000psi-Valve Control || CS || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAC02
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || 2500# & 6000 psi-CV CS <3"" 2500# & 6000psi-Valve Control || CS || 3"" and below || 2500# & 6000 psi",VAC03
"Valves - Actuated-Control Valves-Valve Control || CS || 3"" and below || API 6A and ≥10000#-CV CS <3"" API 6A & ≥10000#-Valve Control || CS || 3"" and below || API 6A and ≥10000#",VAC04
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || Pressure < 900#-CV CRA <3"" P<900#-Valve Control || CRA || 3"" and below || Pressure < 900#",VAC05
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi-CV CRA <3"" 900#≤P<2500# & 3000psi-Valve Control || CRA || 3"" and below || 900# ≤ Pressure < 2500# & 3000 psi",VAC06
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || 2500# & 6000 psi-CV CRA <3"" 2500# & 6000psi-Valve Control || CRA || 3"" and below || 2500# & 6000 psi",VAC07
"Valves - Actuated-Control Valves-Valve Control || CRA || 3"" and below || API 6A and ≥10000#-CV CRA <3"" API6A & ≥10000#-Valve Control || CRA || 3"" and below || API 6A and ≥10000#",VAC08
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || Pressure < 900#-CV CS >4"" P<900#-Valve Control || CS || 4"" and above || Pressure < 900#",VAC09
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi-CV CS >4"" 900#≤P<2500# & 3000psi-Valve Control || CS || 4"" and above || 900# ≤ Pressure < 2500# & 3000 psi",VAC10
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || 2500# & 6000 psi-CV CS >4"" 2500# & 6000psi-Valve Control || CS || 4"" and above || 2500# & 6000 psi",VAC11
"Valves - Actuated-Control Valves-Valve Control || CS || 4"" and above || API 6A and ≥10000#-CV CS >4"" API 6A & ≥10000#-Valve Control || CS || 4"" and above || API 6A and ≥10000#",VAC12
"Valves - Actuated-Control Valves-Valve Control || CRA || 4"" and above || Pressure < 900#-CV CRA >4"" P<900#-Valve Control || CRA || 4"" and above || Pressure < 900#",VAC13
